,ADDRESSBLOCKHOUSENUMBER,LATITUDE,EST_ORIGINAL_COMPLETION_DATE,STATUS,NO_OF_FOOD_STALLS,REGION,APPROXIMATE_GFA,LONGITUDE,NO_OF_MARKET_STALLS,DESCRIPTION,NAME,RNR_STATUS,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,LON,LAT
45, 160/162  ,1.37460005,30/6/1981,Existing,40,North,,103.839241,84,HUP Standard Upgrading,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),Completed,Ang Mo Kio Ave 4,560160,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.839214290038,1.37448912101909
46, 628  ,1.38066268,31/12/1979,Existing,52,North,,103.8407516,166,HUP Rebuilding,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),Completed,Ang Mo Kio Ave 4,560628,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.840682307297,1.38102486670548
47, 44  ,1.30818999,31/1/1999,Existing,45,West,,103.7928391,61,HUP Standard Upgrading,Holland Drive Blk 44 (Holland Drive Market and Food Centre),Completed,Holland Drive,270044,QUEENSTOWN,QT,CENTRAL REGION,CR,103.792773765463,1.30811775909823
48, 38A  ,1.28848803,1/1/1965,Existing,32,Central,1733.074,103.8272476,62,HUP Standard Upgrading,Beo Crescent Market,Completed,Beo Crescent,169982,BUKIT MERAH,BM,CENTRAL REGION,CR,103.827358017197,1.28882210205212
49, 505  ,1.34969997,16/1/1985,Existing,60,West,,103.7184601,130,HUP Standard Upgrading,Jurong West Street 52 Blk 505,Completed,Jurong West Street 52,640505,JURONG WEST,JW,WEST REGION,WR,103.71844754363,1.34964224318434
50, 84  ,1.30233002,23/8/1976,Existing,55,East,,103.9063873,143,Opted out of HUP,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Completed,Marine Parade Central,440084,MARINE PARADE,MP,CENTRAL REGION,CR,103.906338526157,1.30228513841822
51, 50A  ,1.30580998,3/3/1975,Existing,24,East,,103.9157867,87,HUP Standard Upgrading,Marine Terrace Blk 50A (50A Marine Terrace),Completed,Marine Terrace,441050,MARINE PARADE,MP,CENTRAL REGION,CR,103.915761950557,1.30577514781108
52, 5  ,1.28156793,24/5/2017,Existing,53,Central,1817.18,103.8488473,0,Interim Centre,Market Street Interim Hawker Centre,Completed,Cross Street,048418,OUTRAM,OT,CENTRAL REGION,CR,103.848973726501,1.28159564281228
53, 20/21  ,1.44398999,15/9/1975,Existing,52,North,,103.7772598,112,HUP Standard Upgrading,Marsiling Lane Blk 20/21,Completed,Marsiling Lane,730020,WOODLANDS,WD,NORTH REGION,NR,103.777203165702,1.44388181695611
54, 4  ,1.433543,8/11/2017,Existing (new),70,North,3661,103.779881,0,New Replacement Centre,Marsiling Mall Hawker Centre,Completed,Woodlands Street 12,738623,WOODLANDS,WD,NORTH REGION,NR,103.779784899996,1.43353885680037
55, 1  ,1.28055096,1/1/1935,Existing,103,Central,3365.392,103.8444595,0,Upgraded prior to HUP,Maxwell Food Centre (Kim Hua Market),Completed,Kadayanallur Street,069184,DOWNTOWN CORE,DT,CENTRAL REGION,CR,103.844827863123,1.28011223513205
56, 159  ,1.29330003,12/10/1970,Existing,47,West,,103.8029633,66,HUP Reconfiguration,Mei Chin Road Blk 159 (Mei Chin Road Market),Completed,Mei Chin Road,140159,QUEENSTOWN,QT,CENTRAL REGION,CR,103.802903901116,1.29323622090657
57, 32  ,1.28487098,1/1/1965,Existing,87,Central,,103.8425903,0,HUP Standard Upgrading,New Market Road Blk 32 (People's Park Food Centre),Completed,New Market Road,050032,OUTRAM,OT,CENTRAL REGION,CR,103.842578750107,1.28499102169498
58, 208B  ,1.3246289999999998,15/11/2014,Existing,70,East,,103.930477,0,New Replacement Centre,New Upper Changi Road Blk 208B,Completed,New Upper Changi Road,462208,BEDOK,BD,EAST REGION,ER,103.93056047823,1.32473884451035
59, 58  ,1.32516551,27/2/1978,Existing,48,East,,103.940155,147,HUP Standard Upgrading,New Upper Changi Road Blk 58,Completed,New Upper Changi Road,461058,BEDOK,BD,EAST REGION,ER,103.94113237262,1.32418782817919
60, 500  ,1.3122249799999999,1/1/1971,Existing,83,Central,3252.75,103.8397293,0,HUP Standard Upgrading,Newton Food Centre,Completed,Clemenceau Ave North,229495,NEWTON,NT,CENTRAL REGION,CR,103.839562687644,1.31189235691652
61, 861  ,1.3058470500000001,1/1/1973,Existing,37,Central,3004.63,103.8638611,82,HUP Reconfiguration,North Bridge Road Market,Completed,North Bridge Road,198783,KALLANG,KL,CENTRAL REGION,CR,103.863891012338,1.30576537802761
62, 51  ,1.30827999,17/2/1973,Existing,168,East,,103.8858414,54,HUP Standard Upgrading,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),Completed,Old Airport Road,390051,GEYLANG,GL,CENTRAL REGION,CR,103.885833217727,1.30825156309798
63, 121  ,1.27565897,1/1/1978,Existing,45,West,1115.71,103.7915573,0,HUP Standard Upgrading,Pasir Panjang Food Centre,Completed,Pasir Panjang Road,118543,QUEENSTOWN,QT,CENTRAL REGION,CR,103.791402660553,1.27590752450201
